instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
BSE_FO|879168,879168,BANKEX26MAY56700CE,BANKEX,0.0,2026-05-27,56700.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|879535,879535,BANKEX26MAY56700PE,BANKEX,0.0,2026-05-27,56700.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|880474,880474,BANKEX26MAY56800CE,BANKEX,0.0,2026-05-27,56800.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|879105,879105,BANKEX26MAY56800PE,BANKEX,0.0,2026-05-27,56800.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|879283,879283,BANKEX26MAY56900CE,BANKEX,0.0,2026-05-27,56900.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|880402,880402,BANKEX26MAY56900PE,BANKEX,0.0,2026-05-27,56900.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|880255,880255,BANKEX26MAY57000CE,BANKEX,0.0,2026-05-27,57000.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|878905,878905,BANKEX26MAY57000PE,BANKEX,0.0,2026-05-27,57000.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|879856,879856,BANKEX26MAY57100CE,BANKEX,0.0,2026-05-27,57100.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|880208,880208,BANKEX26MAY57100PE,BANKEX,0.0,2026-05-27,57100.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|880383,880383,BANKEX26MAY57200CE,BANKEX,0.0,2026-05-27,57200.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|879801,879801,BANKEX26MAY57200PE,BANKEX,0.0,2026-05-27,57200.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|879956,879956,BANKEX26MAY57300CE,BANKEX,0.0,2026-05-27,57300.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|880314,880314,BANKEX26MAY57300PE,BANKEX,0.0,2026-05-27,57300.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|879545,879545,BANKEX26MAY57400CE,BANKEX,0.0,2026-05-27,57400.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|879898,879898,BANKEX26MAY57400PE,BANKEX,0.0,2026-05-27,57400.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|880059,880059,BANKEX26MAY57500CE,BANKEX,0.0,2026-05-27,57500.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|880439,880439,BANKEX26MAY57500PE,BANKEX,0.0,2026-05-27,57500.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|879638,879638,BANKEX26MAY57600CE,BANKEX,0.0,2026-05-27,57600.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|879999,879999,BANKEX26MAY57600PE,BANKEX,0.0,2026-05-27,57600.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|880156,880156,BANKEX26MAY57700CE,BANKEX,0.0,2026-05-27,57700.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|879588,879588,BANKEX26MAY57700PE,BANKEX,0.0,2026-05-27,57700.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|878245,878245,BANKEX26MAY57800CE,BANKEX,0.0,2026-05-27,57800.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|878504,878504,BANKEX26MAY57800PE,BANKEX,0.0,2026-05-27,57800.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|877985,877985,BANKEX26MAY57900CE,BANKEX,0.0,2026-05-27,57900.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|878216,878216,BANKEX26MAY57900PE,BANKEX,0.0,2026-05-27,57900.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|878136,878136,BANKEX26MAY58000CE,BANKEX,0.0,2026-05-27,58000.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|877771,877771,BANKEX26MAY58000PE,BANKEX,0.0,2026-05-27,58000.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|877876,877876,BANKEX26MAY58100CE,BANKEX,0.0,2026-05-27,58100.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|878103,878103,BANKEX26MAY58100PE,BANKEX,0.0,2026-05-27,58100.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|878731,878731,BANKEX26MAY58200CE,BANKEX,0.0,2026-05-27,58200.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|877849,877849,BANKEX26MAY58200PE,BANKEX,0.0,2026-05-27,58200.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|877932,877932,BANKEX26MAY58300CE,BANKEX,0.0,2026-05-27,58300.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|878164,878164,BANKEX26MAY58300PE,BANKEX,0.0,2026-05-27,58300.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|878799,878799,BANKEX26MAY58400CE,BANKEX,0.0,2026-05-27,58400.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|877903,877903,BANKEX26MAY58400PE,BANKEX,0.0,2026-05-27,58400.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|878006,878006,BANKEX26MAY58500CE,BANKEX,0.0,2026-05-27,58500.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|878769,878769,BANKEX26MAY58500PE,BANKEX,0.0,2026-05-27,58500.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|876918,876918,BANKEX26MAY58600CE,BANKEX,0.0,2026-05-27,58600.0,0.05,30.0,OPTIDX,CE,BSE_FO
